time	V(n003)
Step Information: Temp=-10  (Step: 1/5)
6.011764832562429e-04	-1.574656e-01
6.111764832562429e-04	-1.530197e+00
6.192900377262433e-04	-2.331200e+00
6.243012425574747e-04	-2.514289e+00
6.262401437724364e-04	-2.508443e+00
6.285185608197285e-04	-2.446173e+00
6.322113729933706e-04	-2.225875e+00
6.380889565695487e-04	-1.623915e+00
6.464561920553374e-04	-4.878422e-01
6.545202219164263e-04	5.659882e-01
6.645202219164264e-04	1.464334e+00
6.721392479529870e-04	1.762595e+00
6.754270481327112e-04	1.786086e+00
6.771953381919069e-04	1.772729e+00
6.800703398787156e-04	1.711823e+00
6.847025122563678e-04	1.511267e+00
6.919281277331263e-04	9.489131e-01
7.019281277331264e-04	-2.605301e-01
7.119281277331264e-04	-1.623693e+00
7.198231081383778e-04	-2.363639e+00
7.245187896809101e-04	-2.515792e+00
7.263210969763312e-04	-2.507194e+00
7.286502137972996e-04	-2.440786e+00
7.324236567691971e-04	-2.208983e+00
7.384207700187885e-04	-1.582975e+00
7.466982858978299e-04	-4.538599e-01
7.548667691142016e-04	6.059437e-01
7.648667691142016e-04	1.485359e+00
7.723121388721008e-04	1.765397e+00
7.754929552403990e-04	1.785958e+00
7.773026386316901e-04	1.771316e+00
7.802443870568347e-04	1.706638e+00
7.849802244628816e-04	1.495234e+00
7.923480201426852e-04	9.072711e-01
8.023480201426852e-04	-3.186117e-01
8.123480201426852e-04	-1.674573e+00
8.209862874084130e-04	-2.424114e+00
8.249815305478047e-04	-2.517151e+00
8.264931352442666e-04	-2.504262e+00
8.289299241791790e-04	-2.428695e+00
8.328741524273621e-04	-2.171841e+00
8.391222476455023e-04	-1.494595e+00
8.472597891993500e-04	-3.753910e-01
8.556345319307893e-04	6.924649e-01
8.656345319307893e-04	1.529342e+00
8.726852535195908e-04	1.770884e+00
8.756345296302081e-04	1.785519e+00
8.775331107440591e-04	1.768087e+00
8.806179999554557e-04	1.694837e+00
8.855750437843174e-04	1.459399e+00
8.932413029657901e-04	8.155094e-01
9.032413029657901e-04	-4.430579e-01
9.132413029657901e-04	-1.779495e+00
9.214754688157060e-04	-2.445167e+00
9.251719408256175e-04	-2.516955e+00
9.267799723310716e-04	-2.498840e+00
9.293960319277526e-04	-2.406819e+00
9.336231526579066e-04	-2.106071e+00
9.402800171974812e-04	-1.343979e+00
9.482402894417329e-04	-2.395168e-01
9.569747509766296e-04	8.365142e-01
9.669747509766296e-04	1.597781e+00
9.733061837547666e-04	1.778208e+00
9.758684319929615e-04	1.784516e+00
9.779138131800729e-04	1.762069e+00
9.812344055294615e-04	1.673565e+00
9.865521855735204e-04	1.396026e+00
9.946898641469712e-04	6.580312e-01
1.004689864146971e-03	-6.465217e-01
1.014689864146971e-03	-1.938633e+00
1.022224239130043e-03	-2.472263e+00
1.025459472884749e-03	-2.515885e+00
1.027248128112087e-03	-2.487974e+00
1.030155976013451e-03	-2.365925e+00
1.034839202098488e-03	-1.989144e+00
1.042135019174181e-03	-1.093067e+00
1.049981823774744e-03	-3.179363e-03
1.059300360249603e-03	1.064137e+00
1.069141019717727e-03	1.686031e+00
1.074239738691861e-03	1.784965e+00
1.076217243313270e-03	1.782623e+00
1.078481314436286e-03	1.751510e+00
1.082151287612431e-03	1.637327e+00
1.087994896845022e-03	1.292269e+00
1.096782387808024e-03	4.129261e-01
1.106782387808024e-03	-9.404311e-01
1.116782387808024e-03	-2.140441e+00
1.123219287715996e-03	-2.498499e+00
1.125835809333002e-03	-2.513043e+00
1.127860722473511e-03	-2.470011e+00
1.131148504371019e-03	-2.303442e+00
1.136416344017487e-03	-1.820556e+00
1.144489943706839e-03	-7.643533e-01
1.152327035241647e-03	3.008802e-01
1.162327035241647e-03	1.315415e+00
1.170974530191657e-03	1.739152e+00
1.174976926256296e-03	1.786721e+00
1.176491423911960e-03	1.780334e+00
1.178927142308161e-03	1.741905e+00
1.182869675633932e-03	1.605727e+00
1.189115295105092e-03	1.203416e+00
1.198366401254126e-03	2.150004e-01
1.208366401254126e-03	-1.159329e+00
1.218366401254126e-03	-2.267814e+00
1.223914778014128e-03	-2.510082e+00
1.226096114843368e-03	-2.510123e+00
1.228284279792201e-03	-2.455097e+00
1.231833239142184e-03	-2.254558e+00
1.237495993254264e-03	-1.695423e+00
1.245962859909789e-03	-5.569299e-01
1.253884705125645e-03	4.913863e-01
1.263884705125645e-03	1.424190e+00
1.271814594728981e-03	1.756918e+00
1.275302708288983e-03	1.786492e+00
